Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
94,Dwight Howard\howardw01,C,29,HOU,17,17,33.8,6.2,10.7,0.577,0,0,,6.2,10.7,0.577,0.577,4,9.7,0.412,3.6,10.4,14,1.2,1.4,2.3,2.2,3.5,16.4,20.4,0.546,0,0.907,11.3,31.4,21.5,5.9,1.9,5.4,12.7,21.2,0.6,0.9,1.5,0.126,-2.9,4.8,1.9,0.6
95,Lester Hudson\hudsole01,SG,30,LAC,7,0,5.4,0.9,2,0.429,0.3,1,0.286,0.6,1,0.571,0.5,0,0,,0,0.1,0.1,1,0.3,0.1,0.4,1.1,2,10.5,0.5,0.5,0,0,2.7,1.4,28,2.6,2.3,17.6,19.4,0,0,0,0.033,-2.5,-2,-4.5,0
96,Kris Humphries\humphkr01,PF,29,WAS,1,0,5,1,1,1,0,0,,1,1,1,1,0,0,,0,3,3,0,0,0,0,1,2,21.6,1,0,0,0,63.1,32.6,0,0,0,0,8.9,0,0,0,0.296,-3.6,-5.4,-8.9,0
97,Andre Iguodala\iguodan01,SF,31,GSW,21,3,30.2,3.9,8.1,0.474,1.4,3.9,0.354,2.5,4.2,0.584,0.558,1.3,3.1,0.415,0.8,3.7,4.5,3.6,1.2,0.3,0.7,2,10.4,15.4,0.546,0.48,0.38,2.8,13.2,8.1,18,2,0.9,6.6,15.1,1.3,1,2.2,0.17,2.9,1.3,4.1,1
98,Ersan Ilyasova\ilyaser01,PF,27,MIL,6,6,23.7,3.3,10.2,0.328,0.8,3.8,0.217,2.5,6.3,0.395,0.369,1.2,1.7,0.7,1,2.8,3.8,0.5,0.8,0.5,0.8,1.7,8.7,8,0.398,0.377,0.164,4.1,13.9,8.6,3.9,1.8,1.9,7.1,22.3,-0.3,0.1,-0.1,-0.046,-5.2,-1.1,-6.3,-0.2
99,Kyrie Irving\irvinky01,PG,22,CLE,13,13,35.7,6.2,14.2,0.438,2.1,4.6,0.45,4.2,9.6,0.432,0.511,4.5,5.3,0.841,0.8,2.8,3.6,3.8,1.3,0.8,1.5,2.2,19,20.9,0.573,0.324,0.373,2.4,8.6,5.6,20.1,1.9,2,8.5,23,1.5,0.5,2,0.209,3.9,0.7,4.6,0.8
100,Jarrett Jack\jackja01,PG,31,BRK,6,0,25.5,4.7,9,0.519,0.8,2.5,0.333,3.8,6.5,0.59,0.565,2.2,2.2,1,0.3,3.8,4.2,4.5,1.2,0.2,3.3,2.3,12.3,17.6,0.62,0.278,0.241,1.4,16.3,8.8,31.6,2.3,0.6,25.1,23.9,0.1,0.2,0.3,0.09,0.2,1.9,2.1,0.2
101,Bernard James\jamesbe01,C,29,DAL,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,0,-0.039,-6.2,2.7,-3.5,0
102,LeBron James\jamesle01,SF,30,CLE,20,20,42.2,11.4,27.2,0.417,1.3,5.5,0.227,10.1,21.7,0.465,0.44,6.1,8.4,0.731,1.9,9.5,11.3,8.5,1.7,1.1,4.1,2.9,30.1,25.3,0.487,0.202,0.307,4.9,24.3,14.7,45.2,2.1,2.1,11.7,37.6,1.6,1.5,3,0.173,5.9,5.1,11,2.7
103,Richard Jefferson\jefferi01,SF,34,DAL,4,2,12.8,1.3,3.5,0.357,0.8,2,0.375,0.5,1.5,0.333,0.464,0.5,0.5,1,0,0.5,0.5,0.3,0.5,0,0.8,2.3,3.8,3.5,0.504,0.571,0.143,0,4.2,2,2.6,1.8,0,16.8,14.3,0,0,0,-0.032,-4.2,0.4,-3.8,0
104,John Jenkins\jenkijo01,SG,23,ATL,4,0,5.3,1,1.5,0.667,0.5,1,0.5,0.5,0.5,1,0.833,0,0,,0.3,0.5,0.8,0,0,0,0,0.5,2.5,19,0.833,0.667,0,5.1,10.2,7.6,0,0,0,0,13,0.1,0,0.1,0.202,3.7,-6,-2.2,0
105,Jonas Jerebko\jerebjo01,PF,27,BOS,4,0,17,1.3,3.8,0.333,0,1,0,1.3,2.8,0.455,0.333,0.3,0.5,0.5,1,2.5,3.5,0.3,0.5,0.3,0.8,2.3,2.8,3.3,0.346,0.267,0.133,6.3,16.5,11.3,2.3,1.5,1.4,15.9,12.4,-0.1,0,-0.1,-0.073,-7.4,2.8,-4.6,0
